baby_age,baby_weight,baby_height,bmi,baby_head_length
0,3.41,50.12,,34.7
1m,5.68,57.7,,38.3
2m,6.45,60.9,,39.85
3m,7.04,63.47,,41.05
4m,7.54,65.65,,42.02
5m,7.97,67.56,,42.83
6m,8.36,59.26,,43.51
7m,8.71,70.83,,44.11
8m,9.04,72.26,,44.63
9m,9.34,73.6,,45.09
10m,9.63,74.85,,45.51
11m,9.9,76.03,,45.88
12m,10.41,78.22,,46.53
15m,11.1,81.15,,47.32
18m,11.74,83.77,,47.94
21m,12.33,86.15,,48.54
2,13.14,89.38,16.71,49.06
2.5,14.04,93.13,16.29,49.66
3,14.92,96.7,15.97,50.1
3.5,15.91,100.3,15.75,50.43
4,16.97,103.8,15.63,50.68
4.5,18.07,107.2,15.59,50.86
5,19.22,110.47,15.63,51
5.5,20.39,113.62,15.72,51.1
6,21.6,116.64,15.87,51.17
6.5,22.85,119.54,16.06,51.21
7,24.84,123.71,16.41,
8,27.81,129.05,16.97,
9,31.32,134.21,17.58,
10,35.5,139.43,18.22,
11,40.3,145.26,18.86,
12,45.48,151.81,19.45,
13,50.66,159.03,20,
14,55.42,165.48,20.49,
15,59.4,169.69,20.9,
16,62.41,171.81,21.26,
17,64.46,172.8,21.55,
18,65.76,173.35,21.81,
