baby_age,baby_weight,baby_height,bmi,baby_head_length
0,3.29,49.35,,34.05
1m,5.37,56.65,,37.52
2m,6.08,59.76,,38.02
3m,6.64,62.28,,40.18
4m,7.1,64.42,,41.12
5m,7.51,66.31,,41.9
6m,7.88,68.01,,42.57
7m,8.21,69.56,,43.15
8m,8.52,70.99,,43.66
9m,8.81,72.33,,44.12
10m,9.09,73.58,,44.53
11m,9.35,74.76,,44.89
12m,9.84,76.96,,45.54
15m,10.51,79.91,,46.32
18m,11.13,82.55,,46.95
21m,11.7,84.97,,47.46
2,12.5,88.21,16.34,48.08
2.5,13.42,91.93,16.01,48.71
3,14.32,95.56,15.76,49.18
3.5,15.28,99.2,15.59,49.54
4,16.3,102.73,15.48,49.82
4.5,17.35,106.14,15.43,50.04
5,18.44,109.4,15.44,50.21
5.5,19.57,112.51,15.5,50.34
6,20.73,115.47,15.61,50.44
6.5,21.95,118.31,15.75,50.51
7,23.92,122.39,16.04,
8,26.93,127.76,16.51,
9,30.52,133.49,17.06,
10,34.69,139.9,17.65,
11,39.24,146.71,18.27,
12,43.79,152.67,18.88,
13,47.84,156.6,19.45,
14,50.93,158.52,19.97,
15,52.82,159.42,20.42,
16,53.64,159.98,20.77,
17,53.87,160.42,21.01,
18,54.12,160.74,21.13,
